title,username,route,itinerary,departure_date,days,tags,cost,photo_count,text_content,image_content,views,likes,favorites,comments,shares,url,trip_days
芒街，越南等6个城市6日游2016.12,carol-静,暂无数据,暂无数据,2016-12-05 出发,共6天,美食,None,356张照片,,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_5a8eac3f0f4866ffc0eb85432a2ce03c.jpg_160x120x95_6f5981b4.jpg,8137,0,0,0,0,https://travel.qunar.com/travelbook/note/7884146,共6天
青岛威海等7个城市6日游2016.5,carol-静,途经：威海,行程：小吃一条街>威海华夏城>中国甲午战争博物馆>刘公岛国家森林公园>刘公岛博览园>威海...,2016-05-26 出发,共6天,美食 海滨海岛,None,260张照片,星海广场位于中国辽宁省大连市沙河口区，是大连市西南部的露天广场、纪念香港特别行政区回归中国的主要建设工程，也是大连市的标志建筑之一。,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_9cd0773b8bebe103f4a5faadba988c3b.jpg_160x120x95_ba0ff4c5.jpg,7890,0,0,0,0,https://travel.qunar.com/travelbook/note/7884141,共6天
【日本福冈赏樱🌸14日自驾之旅】,Billywlyiu,途经：日本(福冈Fukuoka),行程：福冈城>大濠公园>筑前>能古岛,2025-03-28 出发,共14天,美食 海滨海岛 温泉 自驾 赏樱 踏春,人均12000元,274张照片,最后，要感谢🙏🙏我们其中的一个队友，她每天为我们提供一切景点资訊及资料搜集，令到今次旅程顺利圆满完成✅🎯,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_4251f4600ec0ebf0ea2b8c8c4aabb94f.jpg_160x120x95_1d56bb5d.jpg,2936,0,0,0,0,https://travel.qunar.com/travelbook/note/7884104,共14天
"丽贝岛,曼谷,合艾11日游",coffeegoal,途经：泰国(曼谷Bangkok 丽贝岛kohlipe 合艾Hat yai 龙仔厝Samut Sakhon 夜功Mueang Samut S...,行程：Nok Air>Ko Usen>Blue Whale Lipe On Tour>Masjid Al Marhamah>Maricilla Beach...,2025-03-08 出发,共11天,None,人均10000元,207张照片,18:00，伴随着夕阳，离开曼谷,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_22c2963f44e0dea92bbcfc9cb174ac94.jpg_160x120x95_61664b05.jpg,8103,0,0,0,0,https://travel.qunar.com/travelbook/note/7883901,共11天
南昌、安徽八日游,时光画师Lee,途经：南昌,行程：八一起义纪念馆,2025-03-19 出发,共8天,None,人均3500元,108张照片,18:00，伴随着夕阳，离开曼谷,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_3f3f57f93148c0e289f3c6ff6df3c3aa.jpg_160x120x95_4fa28c8c.jpg,4476,0,0,0,0,https://travel.qunar.com/travelbook/note/7883477,共8天
周末换个活法，我们去奔赴一场古建之旅（平遥古城）,妮妮的旅行日...,途经：平遥,行程：日升昌票号>城隍庙>马家大院>镇国寺>迎薰门>双林寺>平遥文庙>同兴公镖局,2025-03-15 出发,共2天,深度游 古镇 短途周末 踏春 摄影 探险,人均600元,65张照片,古城每一个院落里的古老斑迹，城墙砖瓦,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_32b92a4f69bd1c6583cc55a260445eae.jpg_160x120x95_6eb216d8.jpg,7680,0,0,0,0,https://travel.qunar.com/travelbook/note/7883171,共2天
从东京到常滑，一路繁花,lilac1978,途经：日本(东京Tokyo 镰仓Kamakura 常滑市Tokoname),行程：银座>国立科学博物馆>上野动物园>上野公园>浅草>浅草寺>皇居,2024-06-22 出发,共8天,美食 暑假 毕业游 夏季 第一次,人均7000元,1237张照片,,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_3dcbe486cb84a18f8bd82066a5f8aebb.jpg_160x120x95_d99f60bb.jpg,4183,0,0,0,0,https://travel.qunar.com/travelbook/note/7882174,共8天
绷不住了去蚌埠,鱼与花,暂无数据,暂无数据,2025-02-25 出发,共4天,美食,None,110张照片,蚌埠是一座兼容南北的城市，美食美景兼而有之。 春天来了，如果您有出行计划不妨来蚌埠看看。,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_a593e1e99fa4882524e7e7bb677d93e9.jpg_160x120x95_04c802ac.jpg,7632,0,0,0,0,https://travel.qunar.com/travelbook/note/7881988,共4天
从邯郸去河南  感受历史,爱独行的女子,途经：安阳>邯郸,行程：殷墟>响堂山石窟>丛台公园>殷墟博物馆>袁林,2025-02-14 出发,共5天,None,None,188张照片,从博物馆出来打车去高铁站回家。,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_6b22a026a4965812d7b29cdad9ed4dc3.jpg_160x120x95_e50c02d1.jpg,1.1万,0,0,0,0,https://travel.qunar.com/travelbook/note/7881712,共5天
新加坡陪小伙伴追星之旅,罗拉小胖,途经：新加坡(新加坡Singapore)>上海,行程：樟宜机场>小印度>鱼尾狮公园>鱼尾狮>新加坡环球影城>滨海湾金沙,2025-02-01 出发,共5天,购物 美食 寒假 第一次,人均11000元,86张照片,从博物馆出来打车去高铁站回家。,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_49ab3f0e0e6d1042ec26bee69dbf409f.jpg_160x120x95_70f77ad8.jpg,2486,0,0,0,0,https://travel.qunar.com/travelbook/note/7881710,共5天
"西安,常德5日游",喵叽,途经：西安>渭南>华阴,行程：西安钟楼>西安站>西安汽车站>高家大院>秦人蜡像馆>秦国竹简展厅>秦始皇兵马俑一号...,2025-01-29 出发,共5天,春节,人均2000元,431张照片,西安6918元,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_c0d532b17c5ec380b2b11449afe7a8aa.jpg_160x120x95_6945433c.jpg,1.1万,0,0,0,0,https://travel.qunar.com/travelbook/note/7881215,共5天
从泉州到潮汕，闽南红，潮汕味,票子许,途经：泉州>石狮>潮州,行程：泉州古城>洛伽寺>关岳庙>泉州天后宫>泉州府文庙>开元寺>泉州开元寺>潮州古城...,2025-02-05 出发,共4天,None,None,191张照片,当天的飞机又晚点了，好在晚点不久，在机场一碗粿条都没有吃完，行程结束啦。,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_4c3d5fa9b3f412f075e1d8a487a0c4dc.jpg_160x120x95_820a0b42.jpg,2140,0,0,0,0,https://travel.qunar.com/travelbook/note/7881066,共4天
重庆三峡之旅（2025.2.2-2.9 重庆-巫山-奉节）,sanmeib,途经：奉节Fengjie County>重庆>巫山Wushan County,行程：三峡之巅>魁星楼>白帝城>山城步道>白象居>嘉陵江小三峡风光带>重庆北站>重庆西站...,2025-02-02 出发,共8天,深度游 购物 美食 徒步 冬季 春节,人均3300元,574张照片,柳坪游客中心傍边的民宿，建在山上，环境很不错,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_717ada9425ca79bf2aeda56bf2f56638.jpg_160x120x95_5b949474.jpg,8833,0,0,0,0,https://travel.qunar.com/travelbook/note/7881057,共8天
桂林旅行📍请相信桂林山水⛰️桂林/阳朔旅行攻略🌊三天两晚特种兵,少年鲍勃,途经：阳朔>桂林,行程：十里画廊>桂林两江四湖景区>独秀峰>东西巷>如意峰索道景区>兴坪古镇>日月双塔...,2025-02-17 出发,共3天,深度游 跨年 美食 第一次 春节,人均1500元,131张照片,🌊桂林山水真的太美了，即便是错峰反向旅行也非常值得去，当然我们是特种兵速通，形成很紧凑，可以根据实际需求调整行程。,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_1be971c19585b37146ed8df21a1647f0.jpg_160x120x95_dace7570.jpg,1.1万,0,0,0,0,https://travel.qunar.com/travelbook/note/7880960,共3天
海南岛游记——文昌三日,河之南北,途经：文昌,行程：东郊椰林风景区>椰子大观园,2025-01-17 出发,共3天,跨年 环游 穷游 海滨海岛 徒步,人均200元,27张照片,,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_fada9a2e79c9b88b3eb9859e6fdc33b6.jpg_160x120x95_4f87645c.jpg,9601,0,0,0,0,https://travel.qunar.com/travelbook/note/7880951,共3天
河北自驾海南15日游,宁萱0310,暂无数据,暂无数据,2025-01-30 出发,共15天,海滨海岛 自驾 春节,人均4000元,146张照片,我们的旅程这就结束啦～吃过早饭就迫不及待地往家赶啦～,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_c19efed7f35631aa338d72609ffb794a.jpg_160x120x95_eb466812.jpg,2460,0,0,0,0,https://travel.qunar.com/travelbook/note/7880795,共15天
北极—我在世界的尽头追极光,爱旅游的鑫仔,途经：俄罗斯(莫斯科Moscow)>美国(北极North Pole),行程：莫斯科大剧院>红场,2025-01-25 出发,共8天,深度游 跨年 购物 漫游 美食 摄影,人均12000元,152张照片,这次的旅行，也有很多遗憾，比如没有去成圣彼得堡。如果大家时间充裕的话，一定要去圣彼得堡待几天，去看看世界上四大博物馆之一的冬宫，那里有很多我们的文物，希望有一天，所有在外的文物都可以回归祖国。,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_fcc71fa238653275e22d4c1ec42cb4ef.jpg_160x120x95_7cd111aa.jpg,1万,0,0,0,0,https://travel.qunar.com/travelbook/note/7880536,共8天
自驾游‖我们在山村里的跨年追梦行动,行者Terry,途经：长兴,行程：寿圣寺>顾渚村,2024-12-30 出发,共3天,深度游 跨年 自驾 短途周末,人均800元,88张照片,从2024走进2025的一次旅行，很难忘，接着咱们从2025走向2026，继续哈！,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_79117f504123dc3b0c3560b887d445e9.jpg_160x120x95_86fbc423.jpg,9827,0,0,0,0,https://travel.qunar.com/travelbook/note/7880509,共3天
2025上海春节度假,Caojy690,途经：上海,行程：古城公园>静安寺>世纪公园>外滩>长风公园>黄浦江>中山公园>外白渡桥>世博文化公...,2025-01-26 出发,共10天,深度游 购物 美食 古镇 春节,人均4000元,225张照片,,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_23fd11c5eb90c5829bf23d4f85283ac8.jpg_160x120x95_cb59af6a.jpg,5268,0,0,0,0,https://travel.qunar.com/travelbook/note/7880391,共10天
期待，一场属于七十五岁单身女士的梦幻南半球邮轮之旅,去哪儿用户,暂无数据,暂无数据,2025-02-08 出发,共91天,None,None,65张照片,,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_13f4526072576956771d8194298b484f.jpg_160x120x95_62dd44bb.jpg,1970,0,0,0,0,https://travel.qunar.com/travelbook/note/7880381,共91天
2025.1.24-2.1  9天 亲子深度畅游马来西亚,我是大熊,途经：马来西亚(仙本那Semporna)>黑山(比耶罗伯尔耶Bijelo Polje),行程：卡帕莱度假村>卡帕莱岛,2025-01-24 出发,共9天,深度游 漫游 潜水 春节,人均11000元,121张照片,经过三个小时的飞行，我们到吉隆坡的时候，已经是晚上啦,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_94c213c2f0816fe71958f03a7ec1c707.jpg_160x120x95_5b031960.jpg,6019,0,0,0,0,https://travel.qunar.com/travelbook/note/7880237,共9天
在秋季去一次川西,苏格拉的眼泪,途经：成都>康定,行程：罗二火锅(小关庙店)>鱼子西>塔公草原>春熙路,2024-10-07 出发,共7天,自驾 摄影 赏秋,人均5000元,24张照片,经过三个小时的飞行，我们到吉隆坡的时候，已经是晚上啦,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_e3193d650e92b8d0cf3b33b4deb42571.jpg_160x120x95_c972a0c8.jpg,8793,0,0,0,0,https://travel.qunar.com/travelbook/note/7880100,共7天
日本九州温泉之旅♨️,拖思卡那,途经：日本(福冈Fukuoka 别府市Beppu 阿苏市Aso 指宿市Ibusuki 鹿儿岛Kagoshima 宫崎市Miyaz...,行程：博多站>博多もつ锅 おおやま 都ホテル博多>别府阿曼内克优拉莱酒店(AMANEK YULA-RE Be...,2025-01-31 出发,共11天,环游 温泉 寒假 第一次 春节,None,195张照片,麺や兼虎(福岡PARCO店),https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_17f160017a8167cadcb91b71354483c2.jpg_160x120x95_9d51f9a1.jpg,4462,0,0,0,0,https://travel.qunar.com/travelbook/note/7880028,共11天
北方小土豆勇闯大东北,乔乔乔巴,途经：哈尔滨>沈阳,行程：中华巴洛克风情街>哈药六版画博物馆>圣索菲亚大教堂>兆麟公园>中央大街>哈尔滨冰雪...,2025-01-29 出发,共6天,第一次 春节,None,177张照片,短短五天 两个城市体会了东北的寒冷 东北的热情 东北的美食 和美景 之前一直想来一趟东北 终于实现了 只要装备足够 根本不用暖宝宝的 这一次带的暖宝宝基本没用 有机会还要再来东北,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_c3b0d060aa13cf1cc36af2b37bccdd94.jpg_160x120x95_e36c64e6.jpg,1684,0,0,0,0,https://travel.qunar.com/travelbook/note/7879968,共6天
新年 遇见名古屋与北陆,SherryK,途经：日本(名古屋Nagoya 金泽Kanazawa),行程：丰田产业技术纪念馆>名古屋城>大须观音>金泽21世纪美术馆>伊奴神社>兼六园>名古屋...,2025-01-23 出发,共8天,None,人均10000元,169张照片,早☁️ 今天要去期待已久的伊奴神社⛩️！,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_f34fa1d447700a86541f447622d46de1.jpg_160x120x95_b8220261.jpg,8292,0,0,0,0,https://travel.qunar.com/travelbook/note/7879967,共8天
北京寒假带娃16天半月游攻略北京溜娃亲子游2周旅游,加丸子,途经：北京,行程：北京大学>北京毕节禾禾酒店>什刹海>北京大兴国际机场>故宫博物院>景山公园>午门...,2025-01-28 出发,共1天,寒假,None,15张照片,,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_f7d3f8576f40e913fe61ca240839d615.jpeg_160x120x95_6e0a7166.jpeg,8545,0,0,0,0,https://travel.qunar.com/travelbook/note/7879815,共1天
一步入画卷，濮院更江南--在“浙”古镇包个小院过个“宋韵”年,驴说旅行,途经：桐乡>佛山,行程：乌镇>西栅,2025-01-23 出发,共2天,深度游 跨年 漫游 美食 古镇 春节,人均500元,274张照片,1）门票：成人120元、儿童60元（6周岁以下或1米2以内免票）、学生票60元（全日制大、中、小学生）、老人票60元（60~69周岁）。入住景区客栈或酒店，住宿期间含早餐、多次进出古镇权益、景交车免费最划算。,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_8480e9d3c197d0434e1f7621ab69fbb4.jpg_160x120x95_a98025e5.jpg,5.7万,0,0,0,0,https://travel.qunar.com/travelbook/note/7879807,共2天
巴中、汉中行‖我们在寻秋探幽的路上,行者Terry,途经：上海>南江>汉中>光雾山Guangwushan,行程：上海文化广场>Shanghai Pass>十八月潭景区>瀑布>拜将坛>汉中天台国家森林公园>闵...,2024-10-27 出发,共8天,深度游 婚纱 赏枫 摄影 赏秋,人均4106元,382张照片,在巴中我们寻到了秋、赏到了景，在汉中我们探到了幽、访到了古，该收兵收心了。归巢！,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_fc6d9d66e86056093544fe083fabaea7.jpg_160x120x95_8b95c7ee.jpg,8112,0,0,0,0,https://travel.qunar.com/travelbook/note/7878902,共8天
埃及10日游,时光画师Lee,途经：埃及(开罗Cairo Nazlet El-SemmanNazlet El-Semman),行程：Monument to the Unknown Soldier>胡夫金字塔>Funerary Temple of Menkaure>狮身人面...,2025-01-03 出发,共10天,None,人均8000元,144张照片,在巴中我们寻到了秋、赏到了景，在汉中我们探到了幽、访到了古，该收兵收心了。归巢！,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_f11b4da28036b5dbc5ea9f316abc1dac.jpg_160x120x95_70b04789.jpg,5539,0,0,0,0,https://travel.qunar.com/travelbook/note/7877951,共10天
国庆十三日三地行个人版,Caojy690,途经：上海>无锡>韩国(西归浦Seogwipo 济州市Jeju),行程：田子坊>三国城>柱状节理带>南禅寺>城山日出峰>鼋头渚>无锡博物院>武康路>咸德海...,2023-09-19 出发,共13天,海滨海岛 古镇 国庆,人均5000元,222张照片,,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-space-img_7ff7834a0ff1c5ac284734316844c08e.jpg_160x120x95_5b84bf29.jpg,8702,0,0,0,0,https://travel.qunar.com/travelbook/note/7877925,共13天
潮汕旅行📍古厝街巷潮浪家⛰️三天两晚特种旅行攻略,少年鲍勃,途经：潮州>汕头,行程：开元寺泰佛殿>韩文公祠>开元寺>牌坊街>广济桥>青龙古庙>铂顿国际公寓(潮州韩江店)...,2024-12-22 出发,共3天,深度游 跨年 美食 自驾 冬季 第一次,人均1500元,107张照片,⛰️潮汕地区不仅历史文化底蕴深厚，并且美食超标，如果有机会一定要去。我们这一次的旅行是极限特种兵，并且是自驾，行程比较紧，可以适当放缓节奏，增加天数，那祝大家旅行愉快咯！,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_63be1ac1b7032800b747a584007be838.jpg_160x120x95_162e598b.jpg,1.4万,0,0,0,0,https://travel.qunar.com/travelbook/note/7877317,共3天
武汉五日秋日游    多姿多彩看不够,鱼与花,途经：武汉,行程：武汉站>晴川阁>黄鹤楼>户部巷>归元禅寺>武汉大学>黎黄陂路>东湖>湖北省博物馆,2024-12-04 出发,共5天,赏秋,None,181张照片,⛰️潮汕地区不仅历史文化底蕴深厚，并且美食超标，如果有机会一定要去。我们这一次的旅行是极限特种兵，并且是自驾，行程比较紧，可以适当放缓节奏，增加天数，那祝大家旅行愉快咯！,https://tr-osdcp.qunarzz.com/tr_osd_tr_hy/tr-osd-tr-mapi-img_b3e47c7d5e04e660500f9e3fc0dd5527.jpg_160x120x95_b33bff77.jpg,1万,0,0,0,0,https://travel.qunar.com/travelbook/note/7876745,共5天
